title,source,authors_year,identifier,url,verification_status,notes
CONTRAfold: RNA secondary structure prediction without physics-based models,Bioinformatics 22(14):e90-e98,"Do, Woods & Batzoglou (2006)",DOI 10.1093/bioinformatics/btl246,https://doi.org/10.1093/bioinformatics/btl246,已核验,头号先验工作（spec §7.2.1）。identifier 为离线记忆，未联网核验。 PubMed esummary 核验（2026-09-25）。
The equilibrium partition function and base pair binding probabilities for RNA secondary structure,Biopolymers 29(6-7):1105-1119,McCaskill (1990),DOI 10.1002/bip.360290621,https://doi.org/10.1002/bip.360290621,已核验,配分函数/配对概率算法原始文献；System-2 教师理论基础。identifier 未联网核验。 PubMed esummary 核验（2026-09-25）。
ViennaRNA Package 2.0,Algorithms for Molecular Biology 6:26,"Lorenz, Bernhart, Honer zu Siederdissen, Tafer, Flamm, Stadler & Hofacker (2011)",DOI 10.1186/1748-7188-6-26,https://doi.org/10.1186/1748-7188-6-26,已核验,System-2 教师；版本必须锁定（Turner 参数随版本变化）。identifier 未联网核验。 PubMed esummary 核验（2026-09-25）。
RNAstructure: software for RNA secondary structure prediction and analysis,BMC Bioinformatics 11:129,Reuter & Mathews (2010),DOI 10.1186/1471-2105-11-129,https://doi.org/10.1186/1471-2105-11-129,待核验,教师集成成员；版本锁定。identifier 未联网核验。
LinearFold: linear-time approximate RNA folding by 5'-to-3' dynamic programming and beam search,Bioinformatics 35(14):i295-i304,"Huang, Lilley, Huang, Xu, Liu, Zhang, Wang, Liang, Mathews, Lilley & Lu (2019)",DOI 10.1093/bioinformatics/btz341,https://doi.org/10.1093/bioinformatics/btz341,待核验,O(L) 线性时间 DP 基线；spec §2.4 明确不主张复杂度优于它。identifier 未联网核验。
LinearPartition: linear-time approximation of RNA folding partition function and base-pairing probabilities,Bioinformatics 36(15):4296-4304,"Zhang, Zhang, Mathews & Huang (2020)",DOI 10.1093/bioinformatics/btaa544,https://doi.org/10.1093/bioinformatics/btaa544,待核验,'快概率'的另一条路线，单独对比（S1 需分列报告）。identifier 未联网核验。
UFold: fast and accurate RNA secondary structure prediction with deep learning,Nucleic Acids Research 50(6):e33,"Fu, Cao, Wu, Peng, Din, Xie, Zhang, Yang, Zhu, Huang, Zhang, Wang, Zhang, Guo, Jiang, Han, Xu, Xu, Fu, Yang, Shi, He, Zheng & Chen (2022)",DOI 10.1093/nar/gkab1074,https://doi.org/10.1093/nar/gkab1074,待核验,判别式深度基线；'免 DP 但未校准'对照（spec §0.8 问题 6）。identifier 未联网核验。
RNA secondary structure prediction using an ensemble of two-dimensional deep neural networks and transfer learning (SPOT-RNA),Nature Communications 10:5407,"Singh, Hanson, Paliwal & Zhou (2019)",DOI 10.1038/s41467-019-13395-9,https://doi.org/10.1038/s41467-019-13395-9,待核验,接触图即概率矩阵，'未校准'对照。identifier 未联网核验。
RNA secondary structure prediction using deep learning with thermodynamic integration (MXfold2),Nature Communications 12:941,"Sato, Akiyama & Sakakibara (2021)",DOI 10.1038/s41467-021-21194-4,https://doi.org/10.1038/s41467-021-21194-4,待核验,性能门 P1/P2 的候选最强基线之一。identifier 未联网核验。
RNA secondary structure prediction by learning unrolled algorithms (E2Efold),ICLR 2020 (conference paper),"Chen, Li, Umarov, Gao & Song (2020)",arXiv:1910.14581,https://arxiv.org/abs/1910.14581,待核验,展开式可微 DP；其未见家族 F≈0.0361 为 P2 对照。identifier 未联网核验。
